"","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","Age.disc","primera","genero","FamilySize"
"665","1","3","male",20,1,0,"STON/O 2. 3101285",7.925,"Sin camarote","S","10-19",0,0,2
"666","0","2","male",32,2,0,"S.O.C. 14879",32.0966808773903,"Sin camarote","S","30-39",0,0,3
"667","0","2","male",25,0,0,"234686",13,"Sin camarote","S","20-29",0,0,1
"668","0","3","male",29.6991176470588,0,0,"312993",7.775,"Sin camarote","S","20-29",0,0,1
"669","0","3","male",43,0,0,"A/5 3536",8.05,"Sin camarote","S","40-49",0,0,1
"670","1","1","female",29.6991176470588,1,0,"19996",52,"C126","S","20-29",1,1,2
"671","1","2","female",40,1,1,"29750",39,"Sin camarote","S","30-39",0,1,3
"672","0","1","male",31,1,0,"F.C. 12750",52,"B71","S","30-39",1,0,2
"673","0","2","male",70,0,0,"C.A. 24580",10.5,"Sin camarote","S","60-69",0,0,1
"674","1","2","male",31,0,0,"244270",13,"Sin camarote","S","30-39",0,0,1
"675","0","2","male",29.6991176470588,0,0,"239856",0,"Sin camarote","S","20-29",0,0,1
"676","0","3","male",18,0,0,"349912",7.775,"Sin camarote","S","10-19",0,0,1
"677","0","3","male",24.5,0,0,"342826",8.05,"Sin camarote","S","20-29",0,0,1
"678","1","3","female",18,0,0,"4138",9.8417,"Sin camarote","S","10-19",0,1,1
"679","0","3","female",43,1,6,"CA 2144",46.9,"Sin camarote","S","40-49",0,1,8
"680","1","1","male",36,0,1,"PC 17755",32.0966808773903,"B51 B53 B55","C","30-39",1,0,2
"681","0","3","female",29.6991176470588,0,0,"330935",8.1375,"Sin camarote","Q","20-29",0,1,1
"682","1","1","male",27,0,0,"PC 17572",32.0966808773903,"D49","C","20-29",1,0,1
"683","0","3","male",20,0,0,"6563",9.225,"Sin camarote","S","10-19",0,0,1
"684","0","3","male",14,5,2,"CA 2144",46.9,"Sin camarote","S","10-19",0,0,8
"685","0","2","male",60,1,1,"29750",39,"Sin camarote","S","50-59",0,0,3
"686","0","2","male",25,1,2,"SC/Paris 2123",41.5792,"Sin camarote","C","20-29",0,0,4
"687","0","3","male",14,4,1,"3101295",39.6875,"Sin camarote","S","10-19",0,0,6
"688","0","3","male",19,0,0,"349228",10.1708,"Sin camarote","S","10-19",0,0,1
"689","0","3","male",18,0,0,"350036",7.7958,"Sin camarote","S","10-19",0,0,1
"690","1","1","female",15,0,1,"24160",32.0966808773903,"B5","S","10-19",1,1,2
"691","1","1","male",31,1,0,"17474",57,"B20","S","30-39",1,0,2
"692","1","3","female",4,0,1,"349256",13.4167,"Sin camarote","C","0-9",0,1,2
"693","1","3","male",29.6991176470588,0,0,"1601",56.4958,"Sin camarote","S","20-29",0,0,1
"694","0","3","male",25,0,0,"2672",7.225,"Sin camarote","C","20-29",0,0,1
"695","0","1","male",60,0,0,"113800",26.55,"Sin camarote","S","50-59",1,0,1
"696","0","2","male",52,0,0,"248731",13.5,"Sin camarote","S","50-59",0,0,1
"697","0","3","male",44,0,0,"363592",8.05,"Sin camarote","S","40-49",0,0,1
"698","1","3","female",29.6991176470588,0,0,"35852",7.7333,"Sin camarote","Q","20-29",0,1,1
"699","0","1","male",49,1,1,"17421",32.0966808773903,"C68","C","40-49",1,0,3
"700","0","3","male",42,0,0,"348121",7.65,"F G63","S","40-49",0,0,1
"701","1","1","female",18,1,0,"PC 17757",32.0966808773903,"C62 C64","C","10-19",1,1,2
"702","1","1","male",35,0,0,"PC 17475",26.2875,"E24","S","30-39",1,0,1
"703","0","3","female",18,0,1,"2691",14.4542,"Sin camarote","C","10-19",0,1,2
"704","0","3","male",25,0,0,"36864",7.7417,"Sin camarote","Q","20-29",0,0,1
"705","0","3","male",26,1,0,"350025",7.8542,"Sin camarote","S","20-29",0,0,2
"706","0","2","male",39,0,0,"250655",26,"Sin camarote","S","30-39",0,0,1
"707","1","2","female",45,0,0,"223596",13.5,"Sin camarote","S","40-49",0,1,1
"708","1","1","male",42,0,0,"PC 17476",26.2875,"E24","S","40-49",1,0,1
"709","1","1","female",22,0,0,"113781",32.0966808773903,"Sin camarote","S","20-29",1,1,1
"710","1","3","male",29.6991176470588,1,1,"2661",15.2458,"Sin camarote","C","20-29",0,0,3
"711","1","1","female",24,0,0,"PC 17482",49.5042,"C90","C","20-29",1,1,1
"712","0","1","male",29.6991176470588,0,0,"113028",26.55,"C124","S","20-29",1,0,1
"713","1","1","male",48,1,0,"19996",52,"C126","S","40-49",1,0,2
"714","0","3","male",29,0,0,"7545",9.4833,"Sin camarote","S","20-29",0,0,1
"715","0","2","male",52,0,0,"250647",13,"Sin camarote","S","50-59",0,0,1
"716","0","3","male",19,0,0,"348124",7.65,"F G73","S","10-19",0,0,1
"717","1","1","female",38,0,0,"PC 17757",32.0966808773903,"C45","C","30-39",1,1,1
"718","1","2","female",27,0,0,"34218",10.5,"E101","S","20-29",0,1,1
"719","0","3","male",29.6991176470588,0,0,"36568",15.5,"Sin camarote","Q","20-29",0,0,1
"720","0","3","male",33,0,0,"347062",7.775,"Sin camarote","S","30-39",0,0,1
"721","1","2","female",6,0,1,"248727",33,"Sin camarote","S","0-9",0,1,2
"722","0","3","male",17,1,0,"350048",7.0542,"Sin camarote","S","10-19",0,0,2
"723","0","2","male",34,0,0,"12233",13,"Sin camarote","S","30-39",0,0,1
"724","0","2","male",50,0,0,"250643",13,"Sin camarote","S","40-49",0,0,1
"725","1","1","male",27,1,0,"113806",53.1,"E8","S","20-29",1,0,2
"726","0","3","male",20,0,0,"315094",8.6625,"Sin camarote","S","10-19",0,0,1
"727","1","2","female",30,3,0,"31027",21,"Sin camarote","S","20-29",0,1,4
"728","1","3","female",29.6991176470588,0,0,"36866",7.7375,"Sin camarote","Q","20-29",0,1,1
"729","0","2","male",25,1,0,"236853",26,"Sin camarote","S","20-29",0,0,2
"730","0","3","female",25,1,0,"STON/O2. 3101271",7.925,"Sin camarote","S","20-29",0,1,2
"731","1","1","female",29,0,0,"24160",32.0966808773903,"B5","S","20-29",1,1,1
"732","0","3","male",11,0,0,"2699",18.7875,"Sin camarote","C","10-19",0,0,1
"733","0","2","male",29.6991176470588,0,0,"239855",0,"Sin camarote","S","20-29",0,0,1
"734","0","2","male",23,0,0,"28425",13,"Sin camarote","S","20-29",0,0,1
"735","0","2","male",23,0,0,"233639",13,"Sin camarote","S","20-29",0,0,1
"736","0","3","male",28.5,0,0,"54636",16.1,"Sin camarote","S","20-29",0,0,1
"737","0","3","female",48,1,3,"W./C. 6608",34.375,"Sin camarote","S","40-49",0,1,5
"738","1","1","male",35,0,0,"PC 17755",32.0966808773903,"B101","C","30-39",1,0,1
"739","0","3","male",29.6991176470588,0,0,"349201",7.8958,"Sin camarote","S","20-29",0,0,1
"740","0","3","male",29.6991176470588,0,0,"349218",7.8958,"Sin camarote","S","20-29",0,0,1
"741","1","1","male",29.6991176470588,0,0,"16988",30,"D45","S","20-29",1,0,1
"742","0","1","male",36,1,0,"19877",32.0966808773903,"C46","S","30-39",1,0,2
"743","1","1","female",21,2,2,"PC 17608",32.0966808773903,"B57 B59 B63 B66","C","20-29",1,1,5
"744","0","3","male",24,1,0,"376566",16.1,"Sin camarote","S","20-29",0,0,2
"745","1","3","male",31,0,0,"STON/O 2. 3101288",7.925,"Sin camarote","S","30-39",0,0,1
"746","0","1","male",70,1,1,"WE/P 5735",32.0966808773903,"B22","S","60-69",1,0,3
"747","0","3","male",16,1,1,"C.A. 2673",20.25,"Sin camarote","S","10-19",0,0,3
"748","1","2","female",30,0,0,"250648",13,"Sin camarote","S","20-29",0,1,1
"749","0","1","male",19,1,0,"113773",53.1,"D30","S","10-19",1,0,2
"750","0","3","male",31,0,0,"335097",7.75,"Sin camarote","Q","30-39",0,0,1
"751","1","2","female",4,1,1,"29103",23,"Sin camarote","S","0-9",0,1,3
"752","1","3","male",6,0,1,"392096",12.475,"E121","S","0-9",0,0,2
"753","0","3","male",33,0,0,"345780",9.5,"Sin camarote","S","30-39",0,0,1
"754","0","3","male",23,0,0,"349204",7.8958,"Sin camarote","S","20-29",0,0,1
"755","1","2","female",48,1,2,"220845",65,"Sin camarote","S","40-49",0,1,4
"756","1","2","male",0.67,1,1,"250649",14.5,"Sin camarote","S","0-9",0,0,3
"757","0","3","male",28,0,0,"350042",7.7958,"Sin camarote","S","20-29",0,0,1
"758","0","2","male",18,0,0,"29108",11.5,"Sin camarote","S","10-19",0,0,1
"759","0","3","male",34,0,0,"363294",8.05,"Sin camarote","S","30-39",0,0,1
"760","1","1","female",33,0,0,"110152",32.0966808773903,"B77","S","30-39",1,1,1
"761","0","3","male",29.6991176470588,0,0,"358585",14.5,"Sin camarote","S","20-29",0,0,1
"762","0","3","male",41,0,0,"SOTON/O2 3101272",7.125,"Sin camarote","S","40-49",0,0,1
"763","1","3","male",20,0,0,"2663",7.2292,"Sin camarote","C","10-19",0,0,1
"764","1","1","female",36,1,2,"113760",32.0966808773903,"B96 B98","S","30-39",1,1,4
"765","0","3","male",16,0,0,"347074",7.775,"Sin camarote","S","10-19",0,0,1
"766","1","1","female",51,1,0,"13502",32.0966808773903,"D11","S","50-59",1,1,2
"767","0","1","male",29.6991176470588,0,0,"112379",39.6,"Sin camarote","C","20-29",1,0,1
"768","0","3","female",30.5,0,0,"364850",7.75,"Sin camarote","Q","30-39",0,1,1
"769","0","3","male",29.6991176470588,1,0,"371110",24.15,"Sin camarote","Q","20-29",0,0,2
"770","0","3","male",32,0,0,"8471",8.3625,"Sin camarote","S","30-39",0,0,1
"771","0","3","male",24,0,0,"345781",9.5,"Sin camarote","S","20-29",0,0,1
"772","0","3","male",48,0,0,"350047",7.8542,"Sin camarote","S","40-49",0,0,1
"773","0","2","female",57,0,0,"S.O./P.P. 3",10.5,"E77","S","50-59",0,1,1
"774","0","3","male",29.6991176470588,0,0,"2674",7.225,"Sin camarote","C","20-29",0,0,1
"775","1","2","female",54,1,3,"29105",23,"Sin camarote","S","50-59",0,1,5
"776","0","3","male",18,0,0,"347078",7.75,"Sin camarote","S","10-19",0,0,1
"777","0","3","male",29.6991176470588,0,0,"383121",7.75,"F38","Q","20-29",0,0,1
"778","1","3","female",5,0,0,"364516",12.475,"Sin camarote","S","0-9",0,1,1
"779","0","3","male",29.6991176470588,0,0,"36865",7.7375,"Sin camarote","Q","20-29",0,0,1
"780","1","1","female",43,0,1,"24160",32.0966808773903,"B3","S","40-49",1,1,2
"781","1","3","female",13,0,0,"2687",7.2292,"Sin camarote","C","10-19",0,1,1
"782","1","1","female",17,1,0,"17474",57,"B20","S","10-19",1,1,2
"783","0","1","male",29,0,0,"113501",30,"D6","S","20-29",1,0,1
"784","0","3","male",29.6991176470588,1,2,"W./C. 6607",23.45,"Sin camarote","S","20-29",0,0,4
"785","0","3","male",25,0,0,"SOTON/O.Q. 3101312",7.05,"Sin camarote","S","20-29",0,0,1
"786","0","3","male",25,0,0,"374887",7.25,"Sin camarote","S","20-29",0,0,1
"787","1","3","female",18,0,0,"3101265",7.4958,"Sin camarote","S","10-19",0,1,1
"788","0","3","male",8,4,1,"382652",29.125,"Sin camarote","Q","0-9",0,0,6
"789","1","3","male",1,1,2,"C.A. 2315",20.575,"Sin camarote","S","0-9",0,0,4
"790","0","1","male",46,0,0,"PC 17593",32.0966808773903,"B82 B84","C","40-49",1,0,1
"791","0","3","male",29.6991176470588,0,0,"12460",7.75,"Sin camarote","Q","20-29",0,0,1
"792","0","2","male",16,0,0,"239865",26,"Sin camarote","S","10-19",0,0,1
"793","0","3","female",29.6991176470588,8,2,"CA. 2343",32.0966808773903,"Sin camarote","S","20-29",0,1,11
"794","0","1","male",29.6991176470588,0,0,"PC 17600",30.6958,"Sin camarote","C","20-29",1,0,1
"795","0","3","male",25,0,0,"349203",7.8958,"Sin camarote","S","20-29",0,0,1
"796","0","2","male",39,0,0,"28213",13,"Sin camarote","S","30-39",0,0,1
"797","1","1","female",49,0,0,"17465",25.9292,"D17","S","40-49",1,1,1
"798","1","3","female",31,0,0,"349244",8.6833,"Sin camarote","S","30-39",0,1,1
"799","0","3","male",30,0,0,"2685",7.2292,"Sin camarote","C","20-29",0,0,1
"800","0","3","female",30,1,1,"345773",24.15,"Sin camarote","S","20-29",0,1,3
"801","0","2","male",34,0,0,"250647",13,"Sin camarote","S","30-39",0,0,1
"802","1","2","female",31,1,1,"C.A. 31921",26.25,"Sin camarote","S","30-39",0,1,3
"803","1","1","male",11,1,2,"113760",32.0966808773903,"B96 B98","S","10-19",1,0,4
"804","1","3","male",0.42,0,1,"2625",8.5167,"Sin camarote","C","0-9",0,0,2
"805","1","3","male",27,0,0,"347089",6.975,"Sin camarote","S","20-29",0,0,1
"806","0","3","male",31,0,0,"347063",7.775,"Sin camarote","S","30-39",0,0,1
"807","0","1","male",39,0,0,"112050",0,"A36","S","30-39",1,0,1
"808","0","3","female",18,0,0,"347087",7.775,"Sin camarote","S","10-19",0,1,1
"809","0","2","male",39,0,0,"248723",13,"Sin camarote","S","30-39",0,0,1
"810","1","1","female",33,1,0,"113806",53.1,"E8","S","30-39",1,1,2
"811","0","3","male",26,0,0,"3474",7.8875,"Sin camarote","S","20-29",0,0,1
"812","0","3","male",39,0,0,"A/4 48871",24.15,"Sin camarote","S","30-39",0,0,1
"813","0","2","male",35,0,0,"28206",10.5,"Sin camarote","S","30-39",0,0,1
"814","0","3","female",6,4,2,"347082",31.275,"Sin camarote","S","0-9",0,1,7
"815","0","3","male",30.5,0,0,"364499",8.05,"Sin camarote","S","30-39",0,0,1
"816","0","1","male",29.6991176470588,0,0,"112058",0,"B102","S","20-29",1,0,1
"817","0","3","female",23,0,0,"STON/O2. 3101290",7.925,"Sin camarote","S","20-29",0,1,1
"818","0","2","male",31,1,1,"S.C./PARIS 2079",37.0042,"Sin camarote","C","30-39",0,0,3
"819","0","3","male",43,0,0,"C 7075",6.45,"Sin camarote","S","40-49",0,0,1
"820","0","3","male",10,3,2,"347088",27.9,"Sin camarote","S","0-9",0,0,6
"821","1","1","female",52,1,1,"12749",32.0966808773903,"B69","S","50-59",1,1,3
"822","1","3","male",27,0,0,"315098",8.6625,"Sin camarote","S","20-29",0,0,1
"823","0","1","male",38,0,0,"19972",0,"Sin camarote","S","30-39",1,0,1
"824","1","3","female",27,0,1,"392096",12.475,"E121","S","20-29",0,1,2
"825","0","3","male",2,4,1,"3101295",39.6875,"Sin camarote","S","0-9",0,0,6
"826","0","3","male",29.6991176470588,0,0,"368323",6.95,"Sin camarote","Q","20-29",0,0,1
"827","0","3","male",29.6991176470588,0,0,"1601",56.4958,"Sin camarote","S","20-29",0,0,1
"828","1","2","male",1,0,2,"S.C./PARIS 2079",37.0042,"Sin camarote","C","0-9",0,0,3
"829","1","3","male",29.6991176470588,0,0,"367228",7.75,"Sin camarote","Q","20-29",0,0,1
"831","1","3","female",15,1,0,"2659",14.4542,"Sin camarote","C","10-19",0,1,2
"832","1","2","male",0.83,1,1,"29106",18.75,"Sin camarote","S","0-9",0,0,3
"833","0","3","male",29.6991176470588,0,0,"2671",7.2292,"Sin camarote","C","20-29",0,0,1
"834","0","3","male",23,0,0,"347468",7.8542,"Sin camarote","S","20-29",0,0,1
"835","0","3","male",18,0,0,"2223",8.3,"Sin camarote","S","10-19",0,0,1
"836","1","1","female",39,1,1,"PC 17756",32.0966808773903,"E49","C","30-39",1,1,3
"837","0","3","male",21,0,0,"315097",8.6625,"Sin camarote","S","20-29",0,0,1
"838","0","3","male",29.6991176470588,0,0,"392092",8.05,"Sin camarote","S","20-29",0,0,1
"839","1","3","male",32,0,0,"1601",56.4958,"Sin camarote","S","30-39",0,0,1
"840","1","1","male",29.6991176470588,0,0,"11774",29.7,"C47","C","20-29",1,0,1
"841","0","3","male",20,0,0,"SOTON/O2 3101287",7.925,"Sin camarote","S","10-19",0,0,1
"842","0","2","male",16,0,0,"S.O./P.P. 3",10.5,"Sin camarote","S","10-19",0,0,1
"843","1","1","female",30,0,0,"113798",31,"Sin camarote","C","20-29",1,1,1
"844","0","3","male",34.5,0,0,"2683",6.4375,"Sin camarote","C","30-39",0,0,1
"845","0","3","male",17,0,0,"315090",8.6625,"Sin camarote","S","10-19",0,0,1
"846","0","3","male",42,0,0,"C.A. 5547",7.55,"Sin camarote","S","40-49",0,0,1
"847","0","3","male",29.6991176470588,8,2,"CA. 2343",32.0966808773903,"Sin camarote","S","20-29",0,0,11
"848","0","3","male",35,0,0,"349213",7.8958,"Sin camarote","C","30-39",0,0,1
"849","0","2","male",28,0,1,"248727",33,"Sin camarote","S","20-29",0,0,2
"850","1","1","female",29.6991176470588,1,0,"17453",32.0966808773903,"C92","C","20-29",1,1,2
"851","0","3","male",4,4,2,"347082",31.275,"Sin camarote","S","0-9",0,0,7
"852","0","3","male",74,0,0,"347060",7.775,"Sin camarote","S","70-80",0,0,1
"853","0","3","female",9,1,1,"2678",15.2458,"Sin camarote","C","0-9",0,1,3
"854","1","1","female",16,0,1,"PC 17592",39.4,"D28","S","10-19",1,1,2
"855","0","2","female",44,1,0,"244252",26,"Sin camarote","S","40-49",0,1,2
"856","1","3","female",18,0,1,"392091",9.35,"Sin camarote","S","10-19",0,1,2
"857","1","1","female",45,1,1,"36928",32.0966808773903,"Sin camarote","S","40-49",1,1,3
"858","1","1","male",51,0,0,"113055",26.55,"E17","S","50-59",1,0,1
"859","1","3","female",24,0,3,"2666",19.2583,"Sin camarote","C","20-29",0,1,4
"860","0","3","male",29.6991176470588,0,0,"2629",7.2292,"Sin camarote","C","20-29",0,0,1
"861","0","3","male",41,2,0,"350026",14.1083,"Sin camarote","S","40-49",0,0,3
"862","0","2","male",21,1,0,"28134",11.5,"Sin camarote","S","20-29",0,0,2
"863","1","1","female",48,0,0,"17466",25.9292,"D17","S","40-49",1,1,1
"864","0","3","female",29.6991176470588,8,2,"CA. 2343",32.0966808773903,"Sin camarote","S","20-29",0,1,11
"865","0","2","male",24,0,0,"233866",13,"Sin camarote","S","20-29",0,0,1
"866","1","2","female",42,0,0,"236852",13,"Sin camarote","S","40-49",0,1,1
"867","1","2","female",27,1,0,"SC/PARIS 2149",13.8583,"Sin camarote","C","20-29",0,1,2
"868","0","1","male",31,0,0,"PC 17590",50.4958,"A24","S","30-39",1,0,1
"869","0","3","male",29.6991176470588,0,0,"345777",9.5,"Sin camarote","S","20-29",0,0,1
"870","1","3","male",4,1,1,"347742",11.1333,"Sin camarote","S","0-9",0,0,3
"871","0","3","male",26,0,0,"349248",7.8958,"Sin camarote","S","20-29",0,0,1
"872","1","1","female",47,1,1,"11751",52.5542,"D35","S","40-49",1,1,3
"873","0","1","male",33,0,0,"695",5,"B51 B53 B55","S","30-39",1,0,1
"874","0","3","male",47,0,0,"345765",9,"Sin camarote","S","40-49",0,0,1
"875","1","2","female",28,1,0,"P/PP 3381",24,"Sin camarote","C","20-29",0,1,2
"876","1","3","female",15,0,0,"2667",7.225,"Sin camarote","C","10-19",0,1,1
"877","0","3","male",20,0,0,"7534",9.8458,"Sin camarote","S","10-19",0,0,1
"878","0","3","male",19,0,0,"349212",7.8958,"Sin camarote","S","10-19",0,0,1
"879","0","3","male",29.6991176470588,0,0,"349217",7.8958,"Sin camarote","S","20-29",0,0,1
"880","1","1","female",56,0,1,"11767",32.0966808773903,"C50","C","50-59",1,1,2
"881","1","2","female",25,0,1,"230433",26,"Sin camarote","S","20-29",0,1,2
"882","0","3","male",33,0,0,"349257",7.8958,"Sin camarote","S","30-39",0,0,1
"883","0","3","female",22,0,0,"7552",10.5167,"Sin camarote","S","20-29",0,1,1
"884","0","2","male",28,0,0,"C.A./SOTON 34068",10.5,"Sin camarote","S","20-29",0,0,1
"885","0","3","male",25,0,0,"SOTON/OQ 392076",7.05,"Sin camarote","S","20-29",0,0,1
"886","0","3","female",39,0,5,"382652",29.125,"Sin camarote","Q","30-39",0,1,6
"887","0","2","male",27,0,0,"211536",13,"Sin camarote","S","20-29",0,0,1
"888","1","1","female",19,0,0,"112053",30,"B42","S","10-19",1,1,1
"889","0","3","female",29.6991176470588,1,2,"W./C. 6607",23.45,"Sin camarote","S","20-29",0,1,4
"890","1","1","male",26,0,0,"111369",30,"C148","C","20-29",1,0,1
"891","0","3","male",32,0,0,"370376",7.75,"Sin camarote","Q","30-39",0,0,1
